year,geog,fips,statecd,theme_id,indic_id,median_hh_income,moe_median_hh_income,pct_pop_workforce,moe_pop_workforce,pct_poverty,moe_poverty,pct_nclb_disad_grad,pct_nclb_lep_grad,pct_nclb_hisp_grad,pct_nclb_white_grad,pct_nclb_black_grad,pct_nclb_swd_grad,pct_nclb_all_grad,pct_fed_disad_grad,pct_fed_lep_grad,pct_fed_hisp_grad,vpct_fed_white_grad,pct_fed_black_grad,pct_fed_swd_grad,pct_fed_all_grad,num_laborforce,num_employed,num_unemployed,rate_unemployment,pct_hsdiploma_ged,moe_hsdiploma_ged,pct_retail_vacancy_low145,pct_retail_vacancy_mid156,pct_retail_vacancy_up39,pct_retail_vacancy_total
2005,Virginia,,51,11,1103,54240,540,0.682409041,0.003,0.1,0.003,,,,,,,,,,,,,,,,,,,,,,,,
2006,Virginia,,51,11,1106,56277,458,0.675210523,0.003,0.096,0.003,,,,,,,,,,,,,,,,,,,0.854,0.003,,,,
2007,Virginia,,51,11,1106,59562,589,0.670499567,0.002,0.099,0.003,,,,,,,,,,,,,,,,,,,0.859,0.003,,,,
2008,Virginia,,51,11,1106,61233,435,0.684531554,0.003,0.102,0.003,,,,,,,,,,,,,,,,,,,0.859,0.003,,,,
2009,Virginia,,51,11,1106,59330,482,0.673666168,0.002,0.105,0.004,,,,,,,,,,,,,,,,,,,0.866,0.003,,,,
2010,Virginia,,51,11,1106,60674,457,0.666554439,0.003,0.111,0.003,,,,,,,,,,,,,,,,,,,0.865,0.003,,,,
2000,District of Columbia,11001,11,11,1103,40127,,0.635818617,,0.202,,,,,,,,,,,,,,,,,,,,,,,,,
2005,District of Columbia,11001,11,11,1103,47221,1934,0.682734043,,0.19,0.015,,,,,,,,,,,,,,,,,,,,,,,,
2006,District of Columbia,11001,11,11,1103,51847,1221,0.667815814,,0.196,0.014,,,,,,,,,,,,,,,,,,,,,,,,
2007,District of Columbia,11001,11,11,1103,54317,1984,0.668685932,0.008,0.164,0.014,,,,,,,,,,,,,,,,,,,,,,,,
2008,District of Columbia,11001,11,11,1103,57936,2402,0.680491374,0.012,0.172,0.013,,,,,,,,,,,,,,,,,,,,,,,,
2009,District of Columbia,11001,11,11,1103,59290,1710,0.667468696,0.01,0.184,0.016,,,,,,,,,,,,,,,,,,,,,,,,
2010,District of Columbia,11001,11,11,1103,60903,1540,0.668033153,0.01,0.192,0.013,,,,,,,,,,,,,,,,,,,,,,,,
2000,Arlington,51013,51,11,1103,63001,,0.748780473,,0.078,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Arlington,51013,51,11,1103,80433,6247,0.753747337,0.018,0.081,0.017,,,,,,,,,,,,,,,,,,,,,,,,
2006,Arlington,51013,51,11,1106,87350,4177,0.76481065,0.016,0.07,0.019,,,,,,,,,,,,,,,,,,,0.923,0.016,,,,
2007,Arlington,51013,51,11,1106,94876,4154,0.77797092,0.013,0.059,0.013,,,,,,,,,,,,,,,,,,,0.9,0.017,,,,
2008,Arlington,51013,51,11,1106,101171,4575,0.792868335,0.018,0.066,0.019,,,,,,,,,,,,,,,,,,,0.907,0.014,,,,
2009,Arlington,51013,51,11,1106,96218,5567,0.797446261,0.013,0.062,0.015,,,,,,,,,,,,,,,,,,,0.934,0.013,,,,
2010,Arlington,51013,51,11,1106,94986,4776,0.800500078,0.014,0.073,0.019,,,,,,,,,,,,,,,,,,,0.92,0.014,,,,
2000,Fairfax,51059,51,11,1103,81050,,0.73132419,,0.046,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Fairfax,51059,51,11,1103,94610,2406,0.721834864,0.008,0.05,0.007,,,,,,,,,,,,,,,,,,,,,,,,
2006,Fairfax,51059,51,11,1103,100318,1974,0.729840548,0.008,0.053,0.006,,,,,,,,,,,,,,,,,,,,,,,,
2007,Fairfax,51059,51,11,1103,105241,1822,0.723696395,0.007,0.049,0.007,,,,,,,,,,,,,,,,,,,,,,,,
2008,Fairfax,51059,51,11,1103,107448,1952,0.738556639,0.006,0.048,0.007,,,,,,,,,,,,,,,,,,,,,,,,
2009,Fairfax,51059,51,11,1103,102499,1701,0.745583997,0.006,0.056,0.007,,,,,,,,,,,,,,,,,,,,,,,,
2010,Fairfax,51059,51,11,1103,103010,2121,0.737122801,0.007,0.058,0.008,,,,,,,,,,,,,,,,,,,,,,,,
2000,Alexandria,51510,51,11,1103,56054,,0.744262808,,0.089,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Alexandria,51510,51,11,1105,,,,,,,,,,,,,,,,,,,,,81303,79110,2193,0.026973174,,,,,,
2002,Alexandria,51510,51,11,1105,,,,,,,,,,,,,,,,,,,,,83557,80699,2858,0.034204196,,,,,,
2003,Alexandria,51510,51,11,1105,,,,,,,,,,,,,,,,,,,,,83579,81083,2496,0.029863961,,,,,,
2004,Alexandria,51510,51,11,1105,,,,,,,,,,,,,,,,,,,,,85197,82928,2269,0.026632393,,,,,,
2005,Alexandria,51510,51,11,1105,66116,6222,0.753602518,0.019,0.059,0.017,,,,,,,,,,,,,,,85299,83111,2188,0.025650945,,,,,,
2006,Alexandria,51510,51,11,1106,80449,3110,0.771878064,0.023,0.043,0.016,,,,,,,,,,,,,,,86955,85042,1913,0.021999885,0.921,0.017,,,,
2007,Alexandria,51510,51,11,1106,80806,4533,0.74137931,0.02,0.082,0.019,,,,,,,,,,,,,,,89747,87751,1996,0.022240298,0.917,0.018,,,,
2008,Alexandria,51510,51,11,1106,86682,6961,0.769731447,0.021,0.073,0.023,70,71,58,87,76,76,76,,,,,,,,92873,90292,2581,0.027790639,0.895,0.027,,,,
2009,Alexandria,51510,51,11,1107,77095,6182,0.756490306,0.024,0.099,0.027,77,68,65,87,79,85,78,,,,,,,,95808,91130,4678,0.04882682,0.913,0.021,0.042,0.056,0.07,0.049
2010,Alexandria,51510,51,11,1107,77793,5014,0.784676711,0.022,0.099,0.025,76,68,69,86,79,81,79,59,57,53,81,67,35,67,96701,92027,4674,0.048334557,0.896,0.022,0.039,0.061,0.05,0.048
2011,Alexandria,51510,51,11,1107,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,0.047,0.038,0.052
